dataset,alpha,metric,contrast,n_seeds,mean_diff,ci_low,ci_high,p_wilcoxon,p_holm,r_rank_biserial,sig
breastcancer,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.003296703100204501,-0.0027472525835036954,0.009340658783912676,0.21562291811747836,1.0,0.37142857142857144,ns
breastcancer,0.2,best_val_acc,Distill-S vs Baseline-Half,20,-0.0016483515501022061,-0.006593406200408891,0.0027472525835037396,0.9637262765337525,1.0,-0.015151515151515152,ns
breastcancer,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.0016483515501022282,-0.0027472525835037067,0.006043955683708196,0.5272999096245439,1.0,0.21212121212121213,ns
breastcancer,0.6,best_val_acc,Distill-S vs Baseline-Half,20,-0.0010989010334014893,-0.004945054650306685,0.00219780206680299,0.5817769165906228,1.0,-0.2,ns
breastcancer,0.8,best_val_acc,Distill-S vs Baseline-Half,20,-0.0016483515501022282,-0.003846153616905218,0.0005494505167007613,0.33399825582199794,1.0,-0.4666666666666667,ns
breastcancer,1.0,best_val_acc,Distill-S vs Baseline-Half,20,0.0005494505167007502,0.0,0.0016483515501022506,0.31731050786291415,1.0,1.0,ns
digits,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.006445991992950451,0.0017421573400497657,0.011324045062065085,0.01858895369865504,0.4275459350690659,0.631578947368421,ns
digits,0.2,best_val_acc,Distill-S vs Baseline-Half,20,0.002613237500190707,-0.0020906061679125116,0.00766550004482261,0.32538444357163243,1.0,0.27941176470588236,ns
digits,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.0038327515125274824,0.0001742094755172896,0.007665506005287204,0.061140284458655346,1.0,0.5163398692810458,ns
digits,0.6,best_val_acc,Distill-S vs Baseline-Half,20,0.0026132345199584794,-0.0012195199728011826,0.006794422864913935,0.21975956215800696,1.0,0.37142857142857144,ns
digits,0.8,best_val_acc,Distill-S vs Baseline-Half,20,0.0005226463079452293,-0.003135880827903792,0.0047038257122039686,0.43148914123231963,1.0,-0.23809523809523808,ns
digits,1.0,best_val_acc,Distill-S vs Baseline-Half,20,0.001045289635658242,-0.0005226612091064675,0.003135883808135953,0.571544057890823,1.0,0.2,ns
glass,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.024999992549419404,-0.001470598578453064,0.05294116735458374,0.1476523977387637,1.0,0.39869281045751637,ns
glass,0.2,best_val_acc,Distill-S vs Baseline-Half,20,0.004411762952804566,-0.014705890417098993,0.023529411852359773,0.5632146236400343,1.0,0.16666666666666666,ns
glass,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.022058819234371186,-0.0029411792755126955,0.04852940738201141,0.13014510044521263,1.0,0.4264705882352941,ns
glass,0.6,best_val_acc,Distill-S vs Baseline-Half,20,0.020588238537311558,-0.00882353037595748,0.05147059112787248,0.12213660579920628,1.0,0.42483660130718953,ns
glass,0.8,best_val_acc,Distill-S vs Baseline-Half,20,0.00882352888584137,-0.02941175553947687,0.041176474131643784,0.23146793933412624,1.0,0.35,ns
glass,1.0,best_val_acc,Distill-S vs Baseline-Half,20,0.007352940738201139,-0.0029411792755127007,0.01911764740943909,0.2042192702898492,1.0,0.5,ns
wine,0.0,best_val_acc,Distill-S vs Baseline-Half,20,0.003571432828903198,-0.007142844796180725,0.012500008940696717,0.27139601757306,1.0,0.4166666666666667,ns
wine,0.2,best_val_acc,Distill-S vs Baseline-Half,20,0.008928576111793518,0.0017857134342193603,0.01785714626312256,0.04611349865213502,1.0,0.8214285714285714,ns
wine,0.4,best_val_acc,Distill-S vs Baseline-Half,20,0.001785716414451599,-0.005357140302658081,0.008928576111793518,0.4795001221869535,1.0,0.3333333333333333,ns
wine,0.6,best_val_acc,Distill-S vs Baseline-Half,20,0.0035714298486709596,-0.003571423888206482,0.01071428656578064,0.25683925795785656,1.0,0.6,ns
wine,0.8,best_val_acc,Distill-S vs Baseline-Half,20,-2.9802322387695314e-09,-0.0053571492433547975,0.005357140302658081,0.6547208460185769,1.0,-0.3333333333333333,ns
wine,1.0,best_val_acc,Distill-S vs Baseline-Half,20,0.0,0.0,0.0,,,0.0,ns
breastcancer,0.0,e_star,Distill-S vs Baseline-Half,20,18.8,6.6,33.15124999999998,0.0173090051968246,0.2769440831491936,0.6210526315789474,ns
breastcancer,0.2,e_star,Distill-S vs Baseline-Half,20,34.55,8.498750000000001,67.55,0.01310535383345179,0.22279101516868044,0.7523809523809524,ns
breastcancer,0.4,e_star,Distill-S vs Baseline-Half,20,23.45,1.05,55.751249999999985,0.14827805240136538,1.0,0.4380952380952381,ns
breastcancer,0.6,e_star,Distill-S vs Baseline-Half,20,22.6,-0.25,55.65,0.3180993284813123,1.0,0.2916666666666667,ns
breastcancer,0.8,e_star,Distill-S vs Baseline-Half,20,25.55,-0.45,63.851249999999986,0.28324873965734976,1.0,0.38181818181818183,ns
breastcancer,1.0,e_star,Distill-S vs Baseline-Half,20,10.8,-0.7,33.05,0.6741416549927048,1.0,0.19047619047619047,ns
digits,0.0,e_star,Distill-S vs Baseline-Half,20,63.65,43.95,83.35,0.0002188021038963283,0.005251250493511879,0.9428571428571428,**
digits,0.2,e_star,Distill-S vs Baseline-Half,20,44.3,18.4,72.2,0.0037622518256999957,0.07900728833969992,0.7578947368421053,ns
digits,0.4,e_star,Distill-S vs Baseline-Half,20,65.2,37.95,94.40124999999999,0.0004483047889457322,0.01031101014575184,0.8952380952380953,*
